,price,barrio,superficie_construida,n_habitaciones,n_baños,lujo,dist_metro,piscina,planta_edificio,prediccion_modelo,gap,garaje,terraza,es_chalet,zonas_verdes,es_exterior
7490,119500,Puerta Bonita,70,3,1,No,Yes,No,-1,154099,34599,No,No,No,No,No
12364,155850,Cuatro Vientos,75,1,2,No,No,No,1,190001,34151,Yes,No,No,No,Yes
9829,199900,El Salvador,66,2,1,No,Yes,No,1,233936,34036,No,Yes,No,No,Yes
8604,298000,Marroquina,92,3,2,No,Yes,No,7,331757,33757,No,No,No,No,Yes
7520,123000,Puerta Bonita,61,2,1,No,Yes,No,2,155318,32318,No,Yes,No,No,Yes
7402,200000,Abrantes,120,4,2,No,Yes,No,1,232178,32178,No,Yes,No,No,Yes
10376,261900,Berruguete,72,1,1,No,Yes,No,0,293891,31991,Yes,No,No,No,Yes
5684,130000,Ventas,62,3,1,No,Yes,No,1,161441,31441,No,No,No,No,Yes
10229,161700,Valdeacederas,37,1,1,No,Yes,No,0,192613,30913,No,No,No,No,Yes
7406,135000,Vista Alegre,55,2,1,No,Yes,No,2,165429,30429,No,Yes,No,No,Yes
5866,150000,Portazgo,69,3,1,No,Yes,No,2,180292,30292,No,No,No,No,Yes
1184,1650000,Justicia,187,3,2,No,Yes,No,6,1680000,30000,No,No,No,No,Yes
11349,270000,Palos de Moguer,100,3,2,No,Yes,No,0,299725,29725,No,No,No,No,Yes
10570,129000,Los Ángeles,75,3,1,No,Yes,No,0,158268,29268,No,No,No,No,No
3524,548000,Ibiza,90,3,2,No,Yes,No,1,577065,29065,No,No,No,No,Yes
5654,155000,Pueblo Nuevo,70,2,1,No,Yes,No,1,183795,28795,No,Yes,No,No,Yes
7413,130000,Vista Alegre,64,3,1,No,Yes,No,2,158788,28788,No,No,No,No,Yes
7143,525000,Aravaca,137,3,2,No,No,Yes,2,553135,28135,Yes,No,No,No,Yes
